Start Count: 0
Watching for changes in count...  Use Ctrl-C to Exit.

|Query Number|Sample Number|Epoch (ms)    |Time (s) |Count             |Linear Reg. Rate  |Rate From Previous|Rate From First   |
|         67 |       ***** |1558697982460 |     660 |       65,024,097 |           97,855 |                0 |           94,737 |
|         68 |          29 |1558697992438 |     670 |       66,539,545 |           97,453 |           37,888 |           95,588 |
|         69 |          30 |1558698002438 |     680 |       68,849,093 |           97,471 |          230,955 |           97,579 |
|         70 |          31 |1558698012439 |     690 |       71,978,338 |           97,998 |          312,893 |          100,700 |
|         71 |       ***** |1558698022439 |     700 |       71,978,338 |           97,998 |                0 |           99,261 |
|         72 |       ***** |1558698032440 |     710 |       71,978,338 |           97,998 |                0 |           97,863 |
|         73 |       ***** |1558698042439 |     720 |       71,978,338 |           97,998 |                0 |           96,504 |
|         74 |       ***** |1558698052443 |     730 |       71,978,338 |           97,998 |                0 |           95,181 |
|         75 |          32 |1558698062440 |     740 |       74,111,430 |           97,807 |           42,661 |           96,778 |
|         76 |          33 |1558698072439 |     750 |       76,230,146 |           97,907 |          211,893 |           98,313 |
|         77 |          34 |1558698082451 |     760 |       78,471,658 |           98,252 |          223,883 |           99,967 |
|         78 |       ***** |1558698092440 |     770 |       78,471,658 |           98,252 |                0 |           98,670 |
|         79 |       ***** |1558698102439 |     780 |       78,471,658 |           98,252 |                0 |           97,405 |
|         80 |       ***** |1558698112439 |     790 |       78,471,658 |           98,252 |                0 |           96,172 |
|         81 |          35 |1558698122471 |     800 |       79,196,525 |           97,898 |           18,113 |           95,872 |
|         82 |          36 |1558698132441 |     810 |       82,283,636 |           98,009 |          309,640 |           98,504 |
|         83 |          37 |1558698142439 |     820 |       85,184,374 |           98,444 |          290,132 |          100,840 |
|         84 |       ***** |1558698152438 |     830 |       85,184,374 |           98,444 |                0 |           99,625 |
|         85 |       ***** |1558698162439 |     840 |       85,184,374 |           98,444 |                0 |           98,439 |
|         86 |       ***** |1558698172468 |     850 |       85,184,374 |           98,444 |                0 |           97,278 |
|         87 |       ***** |1558698182438 |     860 |       85,184,374 |           98,444 |                0 |           96,150 |
|         88 |          38 |1558698192439 |     870 |       85,965,514 |           98,094 |           15,623 |           95,942 |
|         89 |          39 |1558698202439 |     880 |       88,198,837 |           98,013 |          223,332 |           97,390 |
|         90 |          40 |1558698212441 |     890 |       91,823,840 |           98,361 |          362,428 |          100,369 |
|         91 |       ***** |1558698222438 |     900 |       91,823,840 |           98,361 |                0 |           99,254 |
|         92 |       ***** |1558698232438 |     910 |       91,823,840 |           98,361 |                0 |           98,163 |
|         93 |       ***** |1558698242439 |     920 |       91,823,840 |           98,361 |                0 |           97,096 |
|         94 |       ***** |1558698252443 |     930 |       91,823,840 |           98,361 |                0 |           96,052 |
|         95 |          41 |1558698262444 |     940 |       93,359,616 |           98,143 |           30,714 |           96,663 |
|         96 |          42 |1558698272440 |     950 |       95,749,003 |           98,168 |          239,034 |           98,161 |
|         97 |          43 |1558698282440 |     960 |       98,965,869 |           98,499 |          321,687 |          100,490 |
|         98 |       ***** |1558698292444 |     970 |       98,965,869 |           98,499 |                0 |           99,453 |
|         99 |       ***** |1558698302470 |     980 |       98,965,869 |           98,499 |                0 |           98,436 |
|        100 |       ***** |1558698312442 |     990 |       98,965,869 |           98,499 |                0 |           97,444 |
|        101 |       ***** |1558698322442 |    1000 |       98,965,869 |           98,499 |                0 |           96,470 |
|        102 |          44 |1558698332445 |    1010 |      101,186,629 |           98,427 |           44,411 |           97,713 |
|        103 |          45 |1558698342442 |    1020 |      103,435,689 |           98,530 |          224,973 |           98,961 |
|        104 |          46 |1558698352446 |    1030 |      105,638,273 |           98,769 |          220,170 |          100,138 |
|        105 |       ***** |1558698362510 |    1040 |      105,638,273 |           98,769 |                0 |           99,169 |
|        106 |       ***** |1558698372444 |    1050 |      105,638,273 |           98,769 |                0 |           98,231 |
|        107 |       ***** |1558698382442 |    1060 |      105,638,273 |           98,769 |                0 |           97,304 |
|        108 |          47 |1558698392442 |    1070 |      107,752,201 |           98,762 |           52,853 |           98,370 |
|        109 |       ***** |1558698402443 |    1080 |      107,752,201 |           98,762 |                0 |           97,459 |
|        110 |          48 |1558698412445 |    1090 |      112,057,163 |           99,028 |          215,216 |          100,515 |
|        111 |       ***** |1558698422444 |    1100 |      112,057,163 |           99,028 |                0 |           99,601 |
|        112 |       ***** |1558698432444 |    1110 |      112,057,163 |           99,028 |                0 |           98,704 |
|        113 |       ***** |1558698442444 |    1120 |      112,057,163 |           99,028 |                0 |           97,822 |
|        114 |       ***** |1558698452445 |    1130 |      112,057,163 |           99,028 |                0 |           96,957 |
|        115 |          49 |1558698462444 |    1140 |      113,437,196 |           98,856 |           27,601 |           97,317 |
|        116 |          50 |1558698472445 |    1150 |      114,888,858 |           98,760 |          145,152 |           97,733 |
